Kode Transaksi;Nama Barang;Quantity
#45;Tas Ransel Mini;1
#45;Tas Sekolah Anak Laki-laki;1
#45;Koper Fiber;1
#45;Baju Kemeja Putih;1
#45;Baju Kaos Anak - Superheroes;1
#45;Celana Jogger Casual;1
#45;Celana Pendek Casual;1
#45;Dompet STNK Gantungan;1
#45;Tali Pinggang Anak;1
#46;Celana Pendek Jeans;1
#46;Blouse Denim;1
#46;Shampo Biasa;1
#46;Shampo Anti Dandruff;1
#46;Minyak Rambut;1
#46;Sepatu Sandal Anak;1
#46;Sepatu Sekolah Hitam W;1
#46;Serum Vitamin;1
#46;Tas Waist Bag;1
#46;Koper Fiber;1
#46;Cover Koper;1
#46;Gembok Koper;1
#46;Baju Kemeja Putih;1
#46;Celana Jogger Casual;1
#46;Celana Pendek Casual;1
#46;Dompet Kulit Pria;1
#46;Dompet Card Holder;1
#46;Tali Pinggang Anak;1
#47;Kuas Makeup ;1
#47;Serum Vitamin;1
#47;Sunblock Cream;1
#47;Tas Pinggang Wanita;1
#47;Tas Travel;1
#47;Dompet Flip Cover;1
#48;Celana Jeans Sobek Wanita;1
#48;Sweater Top Panjang;1
#48;Kaos;1
#48;Blouse Denim;1
#48;Baju Batik Wanita;1
#48;Hair and Scalp;1
#48;Shampo Biasa;1
#48;Wedges Hitam;1
#48;Sepatu Sport merk Z;1
#48;Serum Vitamin;1
#48;Koper Fiber;1
#48;Baju Kemeja Putih;1
#48;Baju Kaos Olahraga;1
#48;Baju Kaos Anak - Superheroes;1
#48;Baju Kaos Anak - Karakter Kartun;1
#48;Celana Jogger Casual;1
#48;Celana Pendek Casual;1
#48;Celana Pendek Green/Hijau;1
#48;Dompet Flip Cover;1
#49;Celana Jeans Sobek Wanita;1
#49;Shampo Biasa;1
#49;Wedges Hitam;1
#49;Sepatu Sport merk Z;1
#49;Serum Vitamin;1
#49;Tas Pinggang Wanita;1
#49;Tas Ransel Mini;1
#49;Baju Kemeja Putih;1
#49;Dompet Flip Cover;1
#50;Sweater Top Panjang;1
#50;Baju Batik Wanita;1
#50;Shampo Biasa;1
#50;Hair Tonic;1
#50;Sepatu Sport merk Z;1
#50;Serum Vitamin;1
#50;Tas Waist Bag;1
#50;Tas Travel;1
#50;Baju Kemeja Putih;1
#50;Baju Renang Wanita Dewasa;1
#50;Celana Jogger Casual;1
#50;Celana Tactical ;1
#50;Dompet Flip Cover;1
#51;Celana Jeans Sobek Wanita;1
#51;Hair and Scalp;1
#51;Shampo Biasa;1
#51;Baju Kemeja Putih;1
#51;Celana Jogger Casual;1
#51;Celana Pendek Casual;1
#51;Celana Pendek Green/Hijau;1
#51;Celana Tactical ;1
#51;Dompet Kulit Pria;1
#51;Dompet STNK Gantungan;1
#51;Tali Pinggang Gesper Pria;1
#52;Shampo Biasa;1
#52;Flat Shoes Ballerina;1
#53;Atasan Kaos Putih;1
#53;Tank Top;1
#53;Wedges Hitam;1
#53;Serum Vitamin;1
#53;Tas Waist Bag;1
#53;Tas Travel;1
#53;Baju Renang Pria Dewasa;1
#53;Tali Pinggang Gesper Pria;1
#54;Baju Batik Wanita;1
#54;Shampo Biasa;1
#54;Serum Vitamin;1
#54;Tas Makeup;1
#54;Tas Pinggang Wanita;1
#54;Cover Koper;1
#54;Tas Travel;1
#54;Tas Kulit Selempang;1
#54;Baju Kemeja Putih;1
#54;Baju Renang Anak Perempuan;1
#55;Celana Jeans Sobek Wanita;1
#55;Sweater Top Panjang;1
#55;Tank Top;1
#55;Atasan Baju Belang;1
#55;Shampo Biasa;1
#55;Baju Kemeja Putih;1
#55;Tali Pinggang Gesper Pria;1
#56;Celana Jeans Sobek Wanita;1
#56;Jeans Jumbo;1
#56;Shampo Biasa;1
#56;Sepatu Sandal Anak;1
#56;Sepatu Sport merk Z;1
#56;Pelembab;1
#56;Serum Vitamin;1
#56;Tas Ransel Mini;1
#56;Baju Kemeja Putih;1
#56;Celana Jogger Casual;1
#56;Tali Pinggang Gesper Pria;1
#57;Hair and Scalp;1
#57;Sepatu Sandal Anak;1
#57;Sepatu Sport merk Z;1
#57;Serum Vitamin;1
#57;Sunblock Cream;1
#57;Baju Kemeja Putih;1
#57;Celana Jogger Casual;1
#58;Atasan Kaos Putih;1
#58;Cream Whitening;1
#58;Tas Pinggang Wanita;1
#58;Tas Travel;1
#58;Baju Kemeja Putih;1
#58;Celana Jogger Casual;1
#59;Hair Dryer;1
#59;Shampo Biasa;1
#59;Wedges Hitam;1
#59;Flat Shoes Ballerina;1
#59;Celana Jogger Casual;1
#59;Celana Tactical ;1
#59;Dompet Card Holder;1
#60;Sweater Top Panjang;1
#60;Wedges Hitam;1
#60;Flat Shoes Ballerina;1
#60;Sepatu Sandal Anak;1
#60;Serum Vitamin;1
#60;Tas Pinggang Wanita;1
#60;Tas Waist Bag;1
#60;Celana Jogger Casual;1
#61;Celana Jeans Sobek Wanita;1
#61;Hair and Scalp;1
#61;Hair Dryer;1
#61;Shampo Biasa;1
#61;Sepatu Kulit Casual;1
#61;Serum Vitamin;1
#61;Cover Koper;1
#62;Baju Batik Wanita;1
#62;Hair Dryer;1
#62;Tas Pinggang Wanita;1
#62;Tas Travel;1
#62;Tali Pinggang Anak;1
#63;Hair Dryer;1
#63;Sepatu Sandal Anak;1
#63;Kuas Makeup ;1
#63;Serum Vitamin;1
#63;Tas Pinggang Wanita;1
#63;Koper Fiber;1
#63;Tas Travel;1
#63;Celana Jogger Casual;1
#63;Celana Pendek Casual;1
#63;Dompet Card Holder;1
#63;Dompet Flip Cover;1
#64;Hair Tonic;1
#64;Sepatu Sport merk Z;1
#64;Koper Fiber;1
#64;Celana Jogger Casual;1
#64;Celana Pendek Casual;1
#64;Dompet Kulit Pria;1
#64;Dompet Card Holder;1
#64;Dompet STNK Gantungan;1
#64;Dompet Flip Cover;1
#65;Celana Pendek Jeans;1
#65;Kaos;1
#65;Blouse Denim;1
#65;Baju Batik Wanita;1
#65;Hair and Scalp;1
#65;Baju Kemeja Putih;1
#65;Celana Pendek Casual;1
#66;Celana Jeans Sobek Wanita;1
#66;Celana Pendek Jeans;1
#66;Shampo Biasa;1
#66;Serum Vitamin;1
#66;Tas Waist Bag;1
#66;Baju Kemeja Putih;1
#66;Tali Pinggang Anak;1
#67;Celana Pendek Jeans;1
#67;Baju Batik Wanita;1
#67;Hair and Scalp;1
#67;Obat Penumbuh Rambut;1
#67;Dompet Flip Cover;1
#68;Shampo Biasa;1
#68;Tas Pinggang Wanita;1
#68;Cover Koper;1
#68;Celana Jogger Casual;1
#68;Dompet STNK Gantungan;1
#69;Hair and Scalp;1
#69;Sepatu Sport merk Z;1
#69;Serum Vitamin;1
#69;Baju Kemeja Putih;1
#69;Celana Jogger Casual;1
#69;Dompet Card Holder;1
#69;Tali Pinggang Gesper Pria;1
#70;Celana Jeans Sobek Wanita;1
#70;Jeans Jumbo;1
#70;Celana Pendek Jeans;1
#70;Sweater Top Panjang;1
#70;Hair Dryer;1
#70;Sepatu Sandal Anak;1
#70;Celana Tactical ;1
#70;Dompet Flip Cover;1
#70;Tali Pinggang Gesper Pria;1
#71;Celana Pendek Jeans;1
#71;Kaos;1
#71;Baju Batik Wanita;1
#71;Sepatu Sport merk Z;1
#71;Baju Kemeja Putih;1
#71;Dompet Flip Cover;1
#72;Celana Pendek Jeans;1
#72;Tank Top;1
#72;Shampo Biasa;1
#72;Tas Tangan;1
#72;Cover Koper;1
#72;Baju Kaos Anak - Karakter Kartun;1
#72;Celana Pendek Casual;1
#72;Dompet Card Holder;1
#73;Celana Pendek Jeans;1
#73;Baju Batik Wanita;1
#73;Hair Dryer;1
#73;Shampo Biasa;1
#73;Shampo Anti Dandruff;1
#73;Hair Tonic;1
#73;Wedges Hitam;1
#73;Sepatu Sport merk Y;1
#73;Sepatu Sport merk Z;1
#73;Tas Makeup;1
#73;Tas Sekolah Anak Laki-laki;1
#73;Tas Multifungsi;1
#73;Tas Travel;1
#73;Baju Kaos Anak - Superheroes;1
#73;Celana Jogger Casual;1
#73;Celana Pendek Casual;1
#73;Dompet Card Holder;1
#74;Shampo Biasa;1
#74;Wedges Hitam;1
#74;Tas Pinggang Wanita;1
#74;Koper Fiber;1
#74;Celana Jogger Casual;1
#74;Celana Pendek Casual;1
#74;Dompet Card Holder;1
#74;Dompet STNK Gantungan;1
#75;Sepatu Kulit Casual;1
#75;Sepatu Sekolah Hitam W;1
#75;Serum Vitamin;1
#75;Cream Whitening;1
#75;Tas Pinggang Wanita;1
#75;Tas Waist Bag;1
#75;Baju Kemeja Putih;1
#75;Celana Tactical ;1
#76;Blouse Denim;1
#76;Shampo Biasa;1
#76;Flat Shoes Ballerina;1
#76;Sepatu Sandal Anak;1
#76;Sepatu Sekolah Hitam W;1
#76;Serum Vitamin;1
#76;Celana Jogger Casual;1
#76;Celana Tactical ;1
#77;Tank Top;1
#77;Shampo Biasa;1
#77;Tas Pinggang Wanita;1
#77;Baju Kemeja Putih;1
#77;Celana Tactical ;1
#77;Dompet STNK Gantungan;1
#78;Celana Jeans Sobek Wanita;1
#78;Jeans Jumbo;1
#78;Blouse Denim;1
#78;Hair and Scalp;1
#78;Wedges Hitam;1
#78;Tas Pinggang Wanita;1
#78;Cover Koper;1
#78;Baju Kemeja Putih;1
#78;Tali Pinggang Gesper Pria;1
#79;Celana Jeans Sobek Wanita;1
#79;Jeans Jumbo;1
#79;Hair Dryer;1
#79;Minyak Rambut;1
#79;Sepatu Sandal Anak;1
#79;Kuas Makeup ;1
#79;Serum Vitamin;1
#79;Baju Kemeja Putih;1
#79;Tali Pinggang Gesper Pria;1
#79;Tali Pinggang Anak;1
#80;Jeans Jumbo;1
#80;Tank Top;1
#80;Baju Batik Wanita;1
#80;Hair and Scalp;1
#80;Tas Pinggang Wanita;1
#80;Baju Kemeja Putih;1
#80;Celana Jogger Casual;1
#80;Dompet Card Holder;1
#80;Tali Pinggang Gesper Pria;1
#81;Shampo Biasa;1
#81;Flat Shoes Ballerina;1
#81;Cover Koper;1
#81;Baju Renang Wanita Dewasa;1
#81;Dompet Card Holder;1
#82;Baju Batik Wanita;1
#82;Shampo Biasa;1
#82;Sepatu Sandal Anak;1
#82;Serum Vitamin;1
#82;Tas Multifungsi;1
#82;Koper Fiber;1
#82;Cover Koper;1
#82;Baju Kaos Anak - Karakter Kartun;1
#82;Dompet Flip Cover;1
#82;Tali Pinggang Anak;1
#83;Jeans Jumbo;1
#83;Sweater Top Panjang;1
#83;Koper Fiber;1
#83;Tas Kulit Selempang;1
#83;Celana Jogger Casual;1
#83;Celana Pendek Casual;1
#83;Dompet Flip Cover;1
#84;Jeans Jumbo;1
#84;Sweater Top Panjang;1
#84;Blouse Denim;1
#84;Hair and Scalp;1
#84;Shampo Biasa;1
#84;Shampo Anti Dandruff;1
#84;Kuas Makeup ;1
#84;Serum Vitamin;1
#84;Tas Ransel Mini;1
#84;Cover Koper;1
#84;Tas Kulit Selempang;1
#84;Baju Kemeja Putih;1
#84;Baju Renang Wanita Dewasa;1
#84;Celana Pendek Green/Hijau;1
#84;Dompet Kulit Pria;1
#84;Dompet Card Holder;1
#84;Dompet Flip Cover;1
#85;Shampo Biasa;1
#85;Tas Makeup;1
#85;Tas Ransel Mini;1
#85;Baju Renang Anak Perempuan;1
#85;Celana Pendek Green/Hijau;1
#86;Celana Jeans Sobek Wanita;1
#86;Hair Dryer;1
#86;Hair Tonic;1
#86;Minyak Rambut;1
#86;Wedges Hitam;1
#86;Cream Whitening;1
#86;Tas Sekolah Anak Laki-laki;1
#86;Celana Pendek Casual;1
#86;Dompet Card Holder;1
#87;Shampo Biasa;1
#87;Hair Tonic;1
#87;Serum Vitamin;1
#87;Cover Koper;1
#87;Celana Pendek Casual;1
#87;Dompet Card Holder;1
#87;Dompet Flip Cover;1
#87;Tali Pinggang Anak;1
#88;Celana Jeans Sobek Wanita;1
#88;Tank Top;1
#88;Koper Fiber;1
#88;Cover Koper;1
#88;Tas Travel;1
#88;Dompet Kulit Pria;1
#89;Celana Jeans Sobek Wanita;1
#89;Atasan Kaos Putih;1
#89;Shampo Biasa;1
#89;Wedges Hitam;1
#89;Sepatu Sandal Anak;1
#89;Serum Vitamin;1
#89;Tas Pinggang Wanita;1
#89;Baju Kemeja Putih;1
#89;Baju Kaos Anak - Superheroes;1
#89;Celana Jogger Casual;1
#89;Dompet Flip Cover;1
#89;Tali Pinggang Gesper Pria;1
#90;Celana Pendek Jeans;1
#90;Shampo Anti Dandruff;1
#90;Sepatu Kulit Casual;1
#90;Sepatu Sport merk Z;1
